,FullName,University,SubField,Bachelors,Doctorate,Inst. Score,Subf. Score,Score,Empty Count
254,Fei Fang,Carnegie Mellon University,Artificial Intelligence,Tsinghua University,University of Southern California,0,2,2,0
255,Frank Pfenning,Carnegie Mellon University,Programming Languages,Technische Universität Darmstadt,Carnegie Mellon University,0,7,7,0
256,Garth Gibson,Carnegie Mellon University,Computer Architecture,University of Waterloo,"University of California, Berkeley",0,2,2,0
257,Gary K. Fedder,Carnegie Mellon University,Comp. Bio & Bioinformatics,Massachusetts Institute of Technology,"University of California, Berkeley",0,2,2,0
258,Gary L. Miller,Carnegie Mellon University,Algorithms & Complexity,Texas A&M University,"University of California, Berkeley",0,32,32,0
259,Geoff F. Kaufman,Carnegie Mellon University,Human-Computer Interaction,Carnegie Mellon University,Ohio State University,0,21,21,0
260,Geoffrey Brown,Carnegie Mellon University,Computer Architecture,Aristotle University of Thessaloniki,Arizona State University,0,2,2,0
261,Geoffrey J. Gordon,Carnegie Mellon University,Machine Learning & Data Mining,Cornell University,Carnegie Mellon University,0,25,25,0
262,George Amvrosiadis,Carnegie Mellon University,Operating Systems,University of Ioannina,University of Toronto,0,0,0,0
263,Graham Neubig,Carnegie Mellon University,Natural Language Processing,University of Illinois at Urbana-Champaign,Kyoto University,0,0,0,0
264,Greg Ganger,Carnegie Mellon University,Operating Systems,University of Michigan,University of Michigan,0,0,0,0
265,Guangwen Yang,Carnegie Mellon University,Comp. Bio & Bioinformatics,Tsinghua University,University of Minnesota,0,2,2,0
266,Guy E. Blelloch,Carnegie Mellon University,Computer Architecture,Swarthmore College,Massachusetts Institute of Technology,0,2,2,0
267,Hartmut Geyer,Carnegie Mellon University,Robotics,University of Jena,University of Jena,0,62,62,0
268,Heather Miller,Carnegie Mellon University,High-Performance Computing,University of Miami,École polytechnique fédérale de Lausanne,0,7,7,0
269,Henny Admoni,Carnegie Mellon University,Robotics,Wesleyan University,Yale University,0,62,62,0
270,Howie Choset,Carnegie Mellon University,Artificial Intelligence,University of Pennsylvania,California Institute of Technology,0,2,2,0
271,Illah R. Nourbakhsh,Carnegie Mellon University,Robotics,Stanford University,Stanford University,0,62,62,0
272,Ioannis Gkioulekas,Carnegie Mellon University,Algorithms & Complexity,National Technical University of Athens,Harvard University,0,32,32,0
273,J. Andrew Bagnell,Carnegie Mellon University,Machine Learning & Data Mining,University of Florida,Carnegie Mellon University,0,25,25,0
274,J. Zico Kolter,Carnegie Mellon University,Embedded & Real-Time Systems,Georgetown University,Stanford University,0,14,14,0
275,Jack Mostow,Carnegie Mellon University,Robotics,Harvard University,Carnegie Mellon University,0,62,62,0
276,James C. Hoe,Carnegie Mellon University,Computer Architecture,"University of California, Berkeley",Massachusetts Institute of Technology,0,2,2,0
277,James D. Herbsleb,Carnegie Mellon University,Software Engineering,Monmouth College,University of Nebraska-Lincoln,0,12,12,0
278,James H. Morris,Carnegie Mellon University,Programming Languages,Carnegie Mellon University,Massachusetts Institute of Technology,0,7,7,0
279,James K. Baker,Carnegie Mellon University,Human-Computer Interaction,Princeton University,Carnegie Mellon University,0,21,21,0
280,James McCann,Carnegie Mellon University,Computer Graphics,,Carnegie Mellon University,0,14,14,1
281,Jamie Callan,Carnegie Mellon University,The Web & Information Retrieval,University of Connecticut,University of Massachusetts Amherst,0,0,0,0
282,Jan Hoffmann,Carnegie Mellon University,Programming Languages,Ludwig Maximilian University of Munich,Ludwig Maximilian University of Munich,0,7,7,0
283,Jason I. Hong,Carnegie Mellon University,Human-Computer Interaction,Georgia Institute of Technology,"University of California, Berkeley",0,21,21,0
284,Javier Lopez,Carnegie Mellon University,Comp. Bio & Bioinformatics,,Duke University,0,2,2,1
285,Jean Yang,Carnegie Mellon University,Programming Languages,Harvard University,Massachusetts Institute of Technology,0,7,7,0
286,Jeffrey Bigham,Carnegie Mellon University,Human-Computer Interaction,Princeton University,University of Washington,0,21,21,0
287,Jeffrey Eppinger,Carnegie Mellon University,Software Engineering,Carnegie Mellon University,Carnegie Mellon University,0,12,12,0
288,Jessica Hammer,Carnegie Mellon University,Human-Computer Interaction,Harvard University,Columbia University,0,21,21,0
289,Jessica K. Hodgins,Carnegie Mellon University,Computer Graphics,Yale University,Carnegie Mellon University,0,14,14,0
290,Jian Ma,Carnegie Mellon University,Comp. Bio & Bioinformatics,Fudan University,Pennsylvania State University,0,2,2,0
291,Jodi Forlizzi,Carnegie Mellon University,Human-Computer Interaction,The University of the Arts,Carnegie Mellon University,0,21,21,0
292,John Anderson,Carnegie Mellon University,Human-Computer Interaction,University of British Columbia,Stanford University,0,21,21,0
293,John C. Stamper,Carnegie Mellon University,Human-Computer Interaction,Miami University,University of North Carolina at Chapel Hill,0,21,21,0
294,John Zimmerman,Carnegie Mellon University,Human-Computer Interaction,Carnegie Mellon University,Carnegie Mellon University,0,21,21,0
295,Jonathan Aldrich,Carnegie Mellon University,Software Engineering,California Institute of Technology,University of Washington,0,12,12,0
296,Jun-Yan Zhu,Carnegie Mellon University,Computer Graphics,Tsinghua University,"University of California, Berkeley",0,14,14,0
297,Justine Cassell,Carnegie Mellon University,Human-Computer Interaction,Dartmouth College,University of Chicago,0,21,21,0
298,Justine Sherry,Carnegie Mellon University,Computer Networks,University of Washington,"University of California, Berkeley",0,34,34,0
299,K. V. Rashmi,Carnegie Mellon University,,National Institute of Technology Karnataka,"University of California, Berkeley",0,0,0,1
300,Karl Crary,Carnegie Mellon University,Programming Languages,Carnegie Mellon University,Cornell University,0,7,7,0
301,Katerina Fragkiadaki,Carnegie Mellon University,Machine Learning & Data Mining,National Technical University of Athens,University of Pennsylvania,0,25,25,0
302,Kathleen M. Carley,Carnegie Mellon University,Computer Networks,Massachusetts Institute of Technology,Harvard University,0,34,34,0
303,Kathryn Roeder,Carnegie Mellon University,Comp. Bio & Bioinformatics,University of Idaho,Pennsylvania State University,0,2,2,0
304,Keenan Crane,Carnegie Mellon University,Robotics,University of Illinois at Urbana-Champaign,California Institute of Technology,0,62,62,0
305,Kemal Oflazer,Carnegie Mellon University,Programming Languages,Middle East Technical University,Carnegie Mellon University,0,7,7,0
306,Ken Koedinger,Carnegie Mellon University,Human-Computer Interaction,University of Wisconsin-Madison,Carnegie Mellon University,0,21,21,0
307,Kun Zhang,Carnegie Mellon University,Machine Learning & Data Mining,,The Chinese University of Hong Kong,0,25,25,1
308,Larry Wasserman,Carnegie Mellon University,Algorithms & Complexity,Brown University,University of Toronto,0,32,32,0
309,Laura A. Dabbish,Carnegie Mellon University,Human-Computer Interaction,University of Southern California,Carnegie Mellon University,0,21,21,0
310,Leman Akoglu,Carnegie Mellon University,Machine Learning & Data Mining,Bilkent University,Carnegie Mellon University,0,25,25,0
311,Lenore Blum,Carnegie Mellon University,Algorithms & Complexity,Carnegie Institute of Technology,Massachusetts Institute of Technology,0,32,32,0
312,Levent Burak Kara,Carnegie Mellon University,Machine Learning & Data Mining,Middle East Technical University,Carnegie Mellon University,0,25,25,0
313,Lining Yao,Carnegie Mellon University,Human-Computer Interaction,Zhejiang University,Massachusetts Institute of Technology,0,21,21,0
314,Lorrie Faith Cranor,Carnegie Mellon University,Computer Security,Washington University in St. Louis,Washington University in St. Louis,0,31,31,0
315,Louis-Philippe Morency,Carnegie Mellon University,Machine Learning & Data Mining,Université Laval,Massachusetts Institute of Technology,0,25,25,0
316,Luis von Ahn,Carnegie Mellon University,Computer Security,Duke University,Carnegie Mellon University,0,31,31,0
317,Lujo Bauer,Carnegie Mellon University,Computer Security,Yale University,Princeton University,0,31,31,0
318,M. Satyanarayanan,Carnegie Mellon University,Mobile Computing,Indian Institute of Technology Madras,Carnegie Mellon University,0,0,0,0
319,Manuel Blum,Carnegie Mellon University,Cryptography,Massachusetts Institute of Technology,Massachusetts Institute of Technology,0,26,26,0
320,Manuela Veloso,Carnegie Mellon University,Artificial Intelligence,,Carnegie Mellon University,0,2,2,1
321,Maria-Florina Balcan,Carnegie Mellon University,Machine Learning & Data Mining,University of Bucharest,Carnegie Mellon University,0,25,25,0
322,Martial Hebert,Carnegie Mellon University,Robotics,,University of Paris-Sud,0,62,62,1
323,Mary Shaw,Carnegie Mellon University,Software Engineering,Rice University,Carnegie Mellon University,0,12,12,0
324,Matt Fredrikson,Carnegie Mellon University,Computer Security,Duquesne University,University of Wisconsin-Madison,0,31,31,0
325,Matthew O'Toole,Carnegie Mellon University,Robotics,Carnegie Mellon University,University of Toronto,0,62,62,0
326,Matthew T. Mason,Carnegie Mellon University,Robotics,Massachusetts Institute of Technology,Massachusetts Institute of Technology,0,62,62,0
327,Maxim Likhachev,Carnegie Mellon University,Robotics,Stevens Institute of Technology,Carnegie Mellon University,0,62,62,0
328,Mayank Goel,Carnegie Mellon University,Human-Computer Interaction,Maharaja Agrasen Institute of Technology,University of Washington,0,21,21,0
329,Michael A. Erdmann,Carnegie Mellon University,Robotics,University of Washington,Carnegie Mellon University,0,62,62,0
330,Michael I. Shamos,Carnegie Mellon University,Artificial Intelligence,Princeton University,Yale University,0,2,2,0
331,Mor Harchol-Balter,Carnegie Mellon University,Scientific Computing,Brandeis University,"University of California, Berkeley",0,7,7,0
332,Nancy S. Pollard,Carnegie Mellon University,Human-Computer Interaction,,Massachusetts Institute of Technology,0,21,21,1
333,Nathan Beckmann,Carnegie Mellon University,Computer Architecture,"University of California, Los Angeles",Massachusetts Institute of Technology,0,2,2,0
334,Nicolas Christin,Carnegie Mellon University,Computer Networks,École Centrale de Lille,University of Virginia,0,34,34,0
335,Nihar B. Shah,Carnegie Mellon University,Machine Learning & Data Mining,National Institute of Technology Karnataka,"University of California, Berkeley",0,25,25,0
336,Niki Kittur,Carnegie Mellon University,Human-Computer Interaction,Princeton University,"University of California, Los Angeles",0,21,21,0
337,Nina Balcan,Carnegie Mellon University,Machine Learning & Data Mining,University of Bucharest,Carnegie Mellon University,0,25,25,0
338,Norman M. Sadeh,Carnegie Mellon University,Computer Security,Free University of Brussels,Carnegie Mellon University,0,31,31,0
339,Patrick Carrington,Carnegie Mellon University,Human-Computer Interaction,"University of Maryland, Baltimore County","University of Maryland, Baltimore County",0,21,21,0
340,Pedro Ferreira,Carnegie Mellon University,The Web & Information Retrieval,,Carnegie Mellon University,0,0,0,1
341,Peter Steenkiste,Carnegie Mellon University,Computer Networks,Ghent University,Stanford University,0,34,34,0
342,Phillip B. Gibbons,Carnegie Mellon University,Databases,Dartmouth College,"University of California, Berkeley",0,0,0,0
343,Pradeep Ravikumar,Carnegie Mellon University,Machine Learning & Data Mining,Indian Institute of Technology Bombay,Carnegie Mellon University,0,25,25,0
344,Priya Narasimhan,Carnegie Mellon University,Embedded & Real-Time Systems,S.J.M.V: B.A.J.S.S Arts & Commerce College For Women,"University of California, Santa Barbara",0,14,14,0
345,Radu Marculescu,Carnegie Mellon University,Embedded & Real-Time Systems,,University of Southern California,0,14,14,1
346,Raj Reddy,Carnegie Mellon University,Robotics,University of Madras,Stanford University,0,62,62,0
347,Randal E. Bryant,Carnegie Mellon University,Interdisciplinary Areas,University of Michigan,Massachusetts Institute of Technology,0,11,11,0
348,Rayid Ghani,Carnegie Mellon University,Machine Learning & Data Mining,Sewanee: The University of the South,Carnegie Mellon University,0,25,25,0
