"UniqueId","FullName","University","JoinYear","Rank","SubField","Bachelors","Masters","Doctorate","PostDoc","Gender","PhotoURL","Sources","Last_Updated_By","Last_Updated"
"444","Richard Fujimoto","Georgia Institute of Technology","","Full","Distributed & Parallel Computing","University of Illinois at Urbana-Champaign - USA","University of California - Berkeley - USA","University of California - Berkeley - USA","","","","http://www.cc.gatech.edu/~fujimoto/","2","2016-07-24"
"445","Richard Lipton","Georgia Institute of Technology","2000","Full","Algorithms & Theory","Case Western Reserve University - USA","","Carnegie Mellon University - USA","","Male","http://www.cc.gatech.edu/theory/images/lipton.jpg","http://en.wikipedia.org/wiki/Richard_J._Lipton","2","2015-10-08"
"446","Richard Vuduc","Georgia Institute of Technology","2007","Associate","Distributed & Parallel Computing","Cornell University - USA","","University of California - Berkeley - USA","Lawrence Livermore National Laboratory - USA","Male","","http://vuduc.org/index.php","6204","2017-01-05"
"447","Ronald Arkin","Georgia Institute of Technology","","Full","Artificial Intelligence","University of Michigan - USA","Stevens Institute of Technology - USA","University of Massachusetts - Amherst - USA","","Male","","http://www.cc.gatech.edu/aimosaic/faculty/arkin/","5383","2016-12-08"
"448","Santosh Pande","Georgia Institute of Technology","","Associate","Distributed & Parallel Computing","","Indian Institute of Technology - Bombay - India","North Carolina State University - USA","","Male","http://www.cc.gatech.edu/hg/image/350041?f=width100","http://www.cc.gatech.edu/home/santosh/","2","2015-10-08"
"449","Santosh Vempala","Georgia Institute of Technology","2003","Associate","Algorithms & Theory","Indian Institute of Science - Bangalore - India","","Carnegie Mellon University - USA","","Male","http://www.cc.gatech.edu/sites/default/files/images/people/santosh-vempala_0.jpg","http://www.cc.gatech.edu/~vempala/cv2013.pdf","2","2015-10-08"
"450","Seymour Goodman","Georgia Institute of Technology","2000","Full","Security & Privacy","Columbia University - USA","California Institute of Technology - USA","California Institute of Technology - USA","","Male","http://www.cc.gatech.edu/~goodman/goodman-photo.jpg","http://www.iac.gatech.edu/faculty-and-staff/faculty/bio/goodman","2","2015-10-08"
"451","Shamkant Navathe","Georgia Institute of Technology","1980","Associate","Databases","Indian Institute of Science - Bangalore - India","Ohio State University - USA","University of Michigan - USA","","Male","http://www.cc.gatech.edu/sites/default/files/images/people/shamkant-navathe_0.jpg","http://www.cc.gatech.edu/~sham/3_resume.html","2","2015-10-08"
"452","Srinivas Aluru","Georgia Institute of Technology","2013","Full","Bioinformatics & Computational Biology","Indian Institute of Technology - Madras - India","Iowa State University - USA","Iowa State University - USA","","","","http://www.cc.gatech.edu/~saluru/","2","2016-07-24"
"453","Taesoo Kim","Georgia Institute of Technology","2014","Assistant","Security & Privacy","Korea Advanced Institute of Science and Technology - South Korea","Massachusetts Institute of Technology - USA","Massachusetts Institute of Technology - USA","","Male","http://www.cc.gatech.edu/sites/default/files/images/people/taesoo-kim_0.jpg","https://taesoo.gtisc.gatech.edu/","2","2015-10-08"
"454","Thad Starner","Georgia Institute of Technology","","Full","Human-Computer Interaction","Massachusetts Institute of Technology - USA","Massachusetts Institute of Technology - USA","Massachusetts Institute of Technology - USA","","","","http://www.cc.gatech.edu/home/thad/","2","2016-07-24"
"455","Thomas Conte","Georgia Institute of Technology","1995","Full","Hardware & Architecture","University of Delaware - USA","University of Illinois at Urbana-Champaign - USA","University of Illinois at Urbana-Champaign - USA","","Male","http://www.ece.gatech.edu/images/photos/profiles/conte.jpg","http://www.conte.us/life.html","2","2015-10-08"
"456","Tucker Balch","Georgia Institute of Technology","2001","Associate","Artificial Intelligence","Georgia Institute of Technology - USA","University of California - Davis - USA","Georgia Institute of Technology - USA","","","","http://www.cc.gatech.edu/home/tucker/","2","2016-07-24"
